Títulos;Sentimento;Positivo;Neutro;Negativo
Câmara de Campinas rejeita parecer contrário do TCE e aprova contas da prefeitura de 2019;Negativo;0.151;0.67;0.179
Câmara de Campinas aprova reajuste de 4,5% nos salários dos servidores municipais;Positivo;0.197;0.803;0.0
Vereadores de Campinas rejeitam abertura de CP sobre propina na Câmara;Positivo;0.194;0.806;0.0
"CPI sobre propina na Câmara de Campinas vê 'fatos graves' e pede abertura de CP que pode cassar mandato de Zé Carlos; entenda";Positivo;0.103;0.897;0.0
Câmara de Campinas inicia recesso parlamentar nesta segunda;Neutro;0.0;1.0;0.0
Câmara aprova lei para pagamento de ônibus com cartões e celular;Positivo;0.362;0.426;0.213
Câmara debate criação de um Conselho da Diversidade Sexual;Positivo;0.208;0.792;0.0
Câmara de Campinas retoma a discussão sobre o modelo cívico-militar de ensino;Neutro;0.0;1.0;0.0
Vereadores de Campinas começam a discutir auxílio-moradia para ...;Negativo;0.0;0.814;0.186
PL de Nelson Hossri contraria COI e proíbe transgêneros em ...;Negativo;0.0;0.796;0.204
Custo por vereador em 44 cidades do estado de SP é de mais de R$ 1 milhão por ano, aponta TCE;Neutro;0.0;1.0;0.0
Projeto que pode brecar obra da barragem de Pedreira será votado ...;Neutro;0.0;1.0;0.0
Câmara de Campinas vota a contratação de estagiários;Neutro;0.0;1.0;0.0
Câmara de Campinas vota hoje Projeto de Lei da prefeitura que cria ...;Positivo;0.29;0.71;0.0
Com 7 assessores pagos pela população, vereadores de Campinas criam máquina para se reeleger;Negativo;0.0;0.882;0.118
'Ouro Verde': fora da pauta do STF há 1 mês, caso 'trava' à espera de definição sobre a quem compete julgamento;Positivo;0.124;0.876;0.0
Novo secretário em Campinas coloca perfil técnico à frente do político e valoriza função social;Neutro;0.0;1.0;0.0
TCE encontrou excesso de cargos por indicação política na Câmara de Valinhos;Neutro;0.0;1.0;0.0
Veja os 33 vereadores eleitos em Campinas para o novo mandato de Jonas Donizette;Negativo;0.0;0.882;0.118
O estranho caso do outdoor com o rosto dos vereadores de Campinas que desapareceu;Negativo;0.0;0.859;0.141
Com 6.500 crianças sem creche, governo Jonas privatiza a educação em Campinas;Neutro;0.0;1.0;0.0
Bolsonaro vai criar cabide de emprego de R$ 54 milhões para transformar escola em quartel;Negativo;0.0;0.897;0.103
Parcão para pets é inaugurado no Jardim Nova Europa ...;Negativo;0.0;0.833;0.167
